Date,Community,Filename,Caller,Chorus,Duration,Duration (B to L) ,Introduction present,Buildup present,Buildup E components,Buildup first half,Buildup second half,Buildup duration,Rate of buildup,Rate of first half,Rate of second half,Acceleration ,Buildup component chosen,Climax present,Climax components,Climax screams,Prop of screams,Durclx,Climax scream chosen,Letdown present,Letdown components,Drumming,Drumming duration,Drum beats,Rate of beats,Beats in climax,Beats after climax,Beats before climax,Non linearities,Time,Context,call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max,call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max,range
7/4/17,Kasekela,KSK004,FO,N,8.92,4.08,Y,Y,2,1,1,1.72,1.162790698,1.162790698,1.162790698,0,BE1,Y,2,2,1,2.36,CS1,N,0,N,,,,,,,N,7:26,Feed,KSK004_FO_BE1.lma,616.0077,0,no,188,211,470,188,236,5,80,0.1,-0.01,32,217,94,94,470,94,215,235,470,0.57,0.1,235,0.34,0.69,KSK004_FO_CS1.lma,957.3453,0,no,705,751,963,540,745,5,197,0.15,0.01,39,242,705,751,1550,540,785,751,705,0.25,0,986,0.15,0.46,423
6/29/17,Kasekela,KSK007,FU,Y,8.55,6.58,Y,Y,6,3,3,2.01,2.985074627,2.985074627,2.985074627,0,BE3,Y,6,3,0.5,2.92,CS3,Y,4,N,,,,,,,Y,9:53,Feed,KSK007_FU_BE3.lma,242.6697,0,no,188,211,305,188,251,6,66,0.03,-0.01,22,79,94,211,305,94,241,235,94,0.3,0,211,0.21,0.46,KSK007_FU_CS3.lma,581.3406,0,no,611,705,1221,611,986,9,122,0.74,0.05,118,404,611,423,1221,423,982,916,423,0.24,1,399,0.21,0.3,610
9/10/16,Kasekela,KSK014,FO,Y,6.05,5.64,Y,Y,6,3,3,3.66,1.639344262,1.639344262,1.639344262,0,BE3,Y,2,2,1,1.99,CS1,N,0,N,,,,,,,D,10:00,Travel,KSK014_FO_BE3.lma,400.005,0,no,235,188,305,188,263,5,80,0.48,0.01,31,85,94,94,5613,94,423,305,94,0.62,0,5472,0.61,0.7,KSK014_FO_CS1.lma,882.6777,0,no,564,845,1174,564,1049,5,141,0.26,0,108,502,282,845,6059,282,1390,1033,282,0.11,0,5425,0.31,0.67,610
9/10/16,Kasekela,KSK015,FO,Y,10.15,NA,Y,N,0,0,0,0,0,0,0,0,,Y,2,2,1,2.97,CS1,NA,NA,N,,,,,,,N,10:02,Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK015_FO_CS1.lma,706.6755,0,no,329,329,705,329,636,4,141,0.59,0,66,311,282,329,705,282,623,658,282,0.25,0,399,0.2,0.54,376
7/22/17,Kasekela,KSK017,FO,N,7.2,3.97,Y,N,0,0,0,0,0,0,0,0,,Y,2,2,1,2.8,CS2,Y,2,N,,,,,,,N,11:25,Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK017_FO_CS2.lma,1013.346,0,no,751,517,798,517,762,4,150,0.04,0.01,30,270,751,517,1832,282,848,775,1832,0.1,0.05,1292,0.13,0.43,281
7/22/17,Kasekela,KSK018,FO,N,4.46,4.46,N,Y,7,3,4,3.74,1.871657754,1.604278075,2.139037433,0.534759358,BE7,Y,1,1,1,0.72,CS1,N,0,N,,,,,,,N,11:25,Feed,KSK018_FO_BE7.lma,314.6706,0,no,211,376,446,188,332,9,56,0.68,0.04,33,95,94,376,1573,94,339,352,376,0.38,1,1479,0.2,0.48,KSK018_FO_CS1.lma,744.0093,0,no,423,1198,1198,423,834,29,282,0.73,0.03,187,474,329,1221,1432,329,925,822,1221,0.26,1,892,0.19,0.48,775
9/11/16,Kasekela,KSK022,SN,N,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,NA,NA,NA,NA,CS,Y,3,N,,,,,,,Y,7:05,Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK022_SN_CS.lma,626.6745,0,no,751,775,1315,681,1075,12,103,0.74,0.07,101,487,305,775,6787,282,1725,2419,6411,0.63,0.05,6106,0.43,0.58,634
9/11/16,Kasekela,KSK023,SN,Y,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,3,3,1,2.56,CS1,Y,2,N,,,,,,,Y,7:13,Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK023_SN_CS1.lma,978.6789,0,no,705,1174,1597,705,1336,8,297,0.13,-0.02,120,729,282,1174,3523,282,1809,1127,282,0.06,0,2348,0.34,0.58,892
9/11/16,Kasekela,KSK024,FO,N,9,9,N,Y,7,3,3,4.59,1.525054466,1.307189542,1.307189542,0,BE4,Y,1,1,1,1,CS1,Y,4,Y,1.68,7,4.166666667,4,3,0,N,7:15,Travel,KSK024_FO_BE4.lma,413.3385,0,no,188,211,470,188,221,7,113,0.92,0.02,22,224,94,94,6904,94,1209,235,94,0.49,1,6810,0.59,0.71,KSK024_FO_CS1.lma,1069.3467,0,no,1057,892,1479,587,971,19,456,0.84,-0.01,136,549,1057,892,1479,587,971,1057,1057,0.55,0,775,0.3,0.66,892
9/11/16,Kasekela,KSK025,SN,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,NA,NA,NA,NA,CS,Y,1,N,,,,,,,N,7:19,Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK025_SN_CS.lma,1005.3459,0,no,728,1151,1268,587,1077,7,197,0.78,0.04,75,343,728,1151,3499,587,1292,1127,728,0.41,0,2348,0.22,0.44,681
9/11/16,Kasekela,KSK026,SN,Y,4.98,4.98,NA,Y,3,1,1,1,3,2,2,0,BE3,Y,3,3,1,3.24,CS2,Y,1,N,,,,,,,"Y, D",7:22,Travel,KSK026_SN_BE3.lma,288.0036,0,no,423,493,493,305,379,4,47,0.9,0.02,38,91,423,540,728,94,377,352,540,0.29,1,446,0.22,0.46,KSK026_SN_CS2.lma,1170.6813,0,no,1151,845,1620,845,1323,10,305,0.35,-0.02,86,392,1151,2701,4016,1151,1803,3734,2701,0.79,1,2677,0.27,0.42,775
9/11/16,Kasekela,KSK028,SN,Y,3.38,3.38,NA,Y,5,3,2,2.06,2.427184466,2.912621359,1.941747573,-0.970873786,BE3,Y,1,1,1,1.01,CS1,Y,1,N,,,,,,,N,7:49,Travel,KSK028_SN_BE3.lma,250.6698,0,no,188,352,399,188,292,11,99,0.12,0.03,35,133,94,352,376,94,262,305,352,0.53,1,164,0.44,0.65,KSK028_SN_CS1.lma,1061.3466,0,no,892,1080,1855,705,1258,21,296,0.73,0.04,126,532,611,1080,5448,564,1728,1221,611,0.27,0,4110,0.26,0.57,1150
9/11/16,Kasekela,KSK029,SN,Y,5.72,NA,NA,Y,2,1,1,1.59,1.257861635,1.257861635,1.257861635,0,BE1,Y,5,5,1,4.88,CS3,N,1,N,,,,,,,Y,7:56,Feed,KSK029_SN_BE1.lma,354.6711,0,no,423,305,493,282,352,6,94,0.88,0,20,144,423,94,986,94,380,352,94,0.33,1,681,0.25,0.52,KSK029_SN_CS3.lma,1005.3459,0,no,1198,1292,1597,1127,1445,11,225,0.53,-0.02,99,323,1198,4344,4744,540,2674,1315,4344,0.03,1,3945,0.31,0.38,470
